user_id,age,gender,skill,path,ear_id,ear_view_pos,method,first_img,total_time,sam1_proposed_am,sam2_proposed_am,sam1_interactive_am,sam2_interactive_am,polygon_drawing_am,sam2_tracking_am,panorama_tracking_am,total_masks_am,sam1_proposed_sm,sam2_proposed_sm,sam1_interactive_sm,sam2_interactive_sm,poly_n,sam2_tracking_sm,panorama_tracking_sm,total_masks_sm,track_n,amg_n,inter_n,ds_per_mask,user_img,method_imgpos,method_imgpos_ear,ear_img,track_time,amg_time,inter_time,poly_time,ds_per_mask_track,ds_per_mask_amg,ds_per_mask_inter,ds_per_mask_poly
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39420224413028_low_1856_annots_structured_sam2,39420224413028,1856,sam2,False,3362,0,166,0,2,2,119,0,289,0,0,0,2,2,114,0,118,114,0,2,28.491525423728813,6_39420224413028,sam2_2,sam2_2_39420224413028,39420224413028_1856,1623.0,,,,14.236842,,,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39420224413028_low_1920_annots_structured_sam1,39420224413028,1920,sam1,True,2191,154,0,0,0,0,0,0,154,122,0,0,0,0,0,0,122,0,122,0,17.959016393442624,6_39420224413028,sam1_1,sam1_1_39420224413028,39420224413028_1920,,2191.0,,,,17.959017,,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39420224413028_low_1920_annots_structured_sam2,39420224413028,1920,sam2,True,4548,0,180,0,7,3,0,0,190,0,117,0,4,3,0,0,124,0,117,4,36.67741935483871,6_39420224413028,sam2_1,sam2_1_39420224413028,39420224413028_1920,,2043.0,1680.0,825,,17.461538,420.0,275.0
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39420224413028_low_1920_indicated_annots_polygon,39420224413028,1920,polygon,True,265,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,88.33333333333333,6_39420224413028,polygon_1,polygon_1_39420224413028,39420224413028_1920,,,,,,,,
8,30,Male,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_8\39320223493024_low_192_annots_structured_sam1,39320223493024,192,sam1,False,1948,120,0,2,0,0,0,68,190,47,0,2,0,0,0,42,91,42,47,2,21.406593406593405,8_39320223493024,sam1_2,sam1_2_39320223493024,39320223493024_192,1076.0,601.0,,,25.619047,12.787234,,
8,30,Male,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_8\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,1510,0,129,0,1,0,83,0,213,0,8,0,1,0,80,0,89,80,8,1,16.96629213483146,8_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,1192.0,318.0,,,14.9,39.75,,
8,30,Male,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_8\39320223493024_low_256_annots_structured_sam1,39320223493024,256,sam1,True,1865,123,0,4,0,0,0,0,127,86,0,4,0,0,0,0,90,0,86,4,20.72222222222222,8_39320223493024,sam1_1,sam1_1_39320223493024,39320223493024_256,,1408.0,457.0,,,16.372093,114.25,
8,30,Male,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_8\39320223493024_low_256_annots_structured_sam2,39320223493024,256,sam2,True,1692,0,135,0,4,0,0,0,139,0,83,0,4,0,0,0,87,0,83,4,19.448275862068964,8_39320223493024,sam2_1,sam2_1_39320223493024,39320223493024_256,,1290.0,402.0,,,15.542169,100.5,
8,30,Male,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_8\39320223493024_low_256_indicated_annots_polygon,39320223493024,256,polygon,True,276,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,92.0,8_39320223493024,polygon_1,polygon_1_39320223493024,39320223493024_256,,,,,,,,
8,30,Male,9,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_8\39320223525022_low_2688_annots_structured_sam1,39320223525022,2688,sam1,False,1750,97,0,4,0,0,0,67,168,33,0,4,0,0,0,35,72,35,33,4,24.305555555555557,8_39320223525022,sam1_2,sam1_2_39320223525022,39320223525022_2688,975.0,333.0,442.0,,27.857143,10.090909,110.5,
