Dice per mask,Gdice per mask,IoU per mask,Mask N,Sam generation,Weights path,Dataset
0.9741162061691284,0.9484413862228394,0.9507701396942139,38,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9862749576568604,0.9728268384933472,0.9732759594917297,39,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9830579161643982,0.9670336246490479,0.9671976566314697,40,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9711763262748718,0.9427470564842224,0.9454746842384338,41,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.96955406665802,0.9392885565757751,0.9425931572914124,42,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9817004203796387,0.9644872546195984,0.9646563529968262,43,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.968264102935791,0.936989426612854,0.9402908086776733,44,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.960006058216095,0.920515775680542,0.9259020090103149,45,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9698050022125244,0.9397591352462769,0.943041205406189,46,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.982606053352356,0.9655606746673584,0.9663702249526978,47,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9721142053604126,0.9451119899749756,0.9471312165260315,48,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9845425486564636,0.9693807363510132,0.970003604888916,49,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9679687023162842,0.9368562698364258,0.9397429823875427,50,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.977845311164856,0.9566597938537598,0.9575314521789551,51,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9679199457168579,0.9361107349395752,0.9396930932998657,52,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9561798572540283,0.913409411907196,0.9193425178527832,53,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.944510817527771,0.8898028135299683,0.9000275135040283,54,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9804368615150452,0.9612351059913635,0.9623339176177979,55,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9668701887130737,0.9342816472053528,0.9378273487091064,56,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9579441547393799,0.9161401987075806,0.9223959445953369,57,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
